sample_id,object_id,history_length,history_anchor_ids,independent_huber,joint_huber,independent_normalized_regret,joint_normalized_regret,independent_spearman,joint_spearman,independent_ndcg_at_5,joint_ndcg_at_5
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0000/e52d9c508c50,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[4],0.015015964396297932,0.01023004949092865,0.07892183281531423,0.1704286575570159,0.9506244218316374,0.8729185938945421,0.9593759012775496,0.9425082381963305
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0001/58f7b0780592,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[26],0.018977010622620583,0.012667197734117508,0.043824415752445216,0.043824415752445216,0.9803422756706753,0.9863552266419982,0.9617612731290626,0.9893565953861203
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0002/83891d7fe85c,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[20],0.015093737281858921,0.012935701757669449,0.05573528420906383,0.006862626581706047,0.8743061979648473,0.9580249768732655,0.9359637860097058,0.9857643607884897
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0003/2b4c342f5433,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[9],0.015252787619829178,0.013578648678958416,0.05763944905421497,0.035508054027281855,0.9132747456059205,0.9572155411655874,0.9376895342219602,0.9457700695371232
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0004/9652595f37ed,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[30],0.016636647284030914,0.013101324439048767,0.023207245359464168,0.022337521295140383,0.9804579093432008,0.9826549491211841,0.9588685409351647,0.9835892728955637
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0005/7cb7c4547cf2,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[22],0.017339235171675682,0.01423549372702837,0.04650022453945471,0.016947420273481877,0.9835800185013877,0.9773358001850139,0.9816661926616235,0.9929424678928862
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0006/6e340b9cffb3,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[0],0.006385405082255602,0.007391119375824928,0.11803517200446438,0.0416605205859972,0.7080249768732655,0.9308510638297872,0.9036539221212408,0.9796233080238687
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h01/d0007/01ba4719c80b,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,1,[10],0.015084831044077873,0.012695698998868465,0.031523930551046575,0.031523930551046575,0.9638066604995374,0.9810360777058279,0.9677327181884215,0.9959619116866057
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0000/f67213595624,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[23, 6]",0.014775922521948814,0.01397654041647911,0.015219560821349815,0.015219560821349815,0.9357385137218623,0.9473327166204131,0.9434929559275164,0.9523139714131057
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0001/3d225fdcf10f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[46, 23]",0.011176255531609058,0.013425317592918873,0.0,0.0,0.9349984582176996,0.9160037002775208,0.9569568618666211,0.9505932105230832
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0002/4fa6a745891d,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[17, 9]",0.015629960224032402,0.012534773908555508,0.044497276773261395,0.044497276773261395,0.9453592352759789,0.9474560592044402,0.9503907559336864,0.9526972591060326
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0003/4e3549480090,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[22, 2]",0.012971795164048672,0.013814660720527172,0.0,0.0,0.9675609004008633,0.9669441874807276,0.9756611919765038,0.9993549494725439
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0004/ad65cc74685c,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[12, 37]",0.01550348661839962,0.013535932637751102,0.0,0.0,0.9621338267036693,0.9584335491828553,0.9874499379322665,0.987471021144779
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0005/f36a1756634f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[12, 10]",0.015141937881708145,0.014481859281659126,0.0,0.0,0.9361085414739437,0.9706444650015417,0.9247678576544575,0.9760179162832056
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0006/09b8b1abe30a,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[36, 5]",0.013641217723488808,0.01518302597105503,0.04010699227899765,0.0,0.9483194572926301,0.9913660191181004,0.9786817519734049,0.9985694111595532
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h02/d0007/d5206230b34f,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,2,"[7, 44]",0.008590406738221645,0.014655412174761295,0.0,0.014426078343148909,0.9477027443724945,0.90440949737897,1.0,0.9976757030342276
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0000/a400add2cd05,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[4, 6, 36, 5]",0.0096418596804142,0.014434387907385826,0.03002218789287168,0.03002218789287168,0.9795630725863286,0.9797040169133193,0.9766584146672932,0.9707136498409505
test/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/h04/d0001/76da5ad4ac60,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,4,"[13, 20, 27, 1]",0.008592836558818817,0.009724481962621212,0.0,0.0,0.9219168428470755,0.9843551797040171,0.9840041611263161,0.9993062664769127
